name,pclass,sex,age,fare,survived
"Harmer, Mr. Abraham (David Lishin)",3,male,25,7.25,0
"Harper, Miss. Annie Jessie ""Nina""",2,female,6,33,1
"Harper, Mr. Henry Sleeper",1,male,48,76.7292,1
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,female,49,76.7292,1
"Harper, Rev. John",2,male,28,33,0
"Harris, Mr. George",2,male,62,10.5,1
"Harris, Mr. Henry Birkhardt",1,male,45,83.475,0
"Harris, Mr. Walter",2,male,30,10.5,0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,female,35,83.475,1
"Harrison, Mr. William",1,male,40,0,0
"Hart, Miss. Eva Miriam",2,female,7,26.25,1
"Hart, Mr. Benjamin",2,male,43,26.25,0
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",2,female,45,26.25,1
"Hassab, Mr. Hammad",1,male,27,76.7292,1
"Hassan, Mr. Houssein G N",3,male,11,18.7875,0
"Hays, Miss. Margaret Bechstein",1,female,24,83.1583,1
"Hays, Mr. Charles Melville",1,male,55,93.5,0
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,female,52,93.5,1
"Head, Mr. Christopher",1,male,42,42.5,0
"Hedman, Mr. Oskar Arvid",3,male,27,6.975,1
"Hegarty, Miss. Hanora ""Nora""",3,female,18,6.75,0
"Heikkinen, Miss. Laina",3,female,26,7.925,1
"Heininen, Miss. Wendla Maria",3,female,23,7.925,0
"Hellstrom, Miss. Hilda Maria",3,female,22,8.9625,1
"Hendekovic, Mr. Ignjac",3,male,28,7.8958,0
"Henriksson, Miss. Jenny Lovisa",3,female,28,7.775,0
"Herman, Miss. Alice",2,female,24,65,1
"Herman, Miss. Kate",2,female,24,65,1
"Herman, Mr. Samuel",2,male,49,65,0
"Herman, Mrs. Samuel (Jane Laver)",2,female,48,65,1
"Hewlett, Mrs. (Mary D Kingcome) ",2,female,55,16,1
"Hickman, Mr. Leonard Mark",2,male,24,73.5,0
"Hickman, Mr. Lewis",2,male,32,73.5,0
"Hickman, Mr. Stanley George",2,male,21,73.5,0
"Hiltunen, Miss. Marta",2,female,18,13,0
"Hipkins, Mr. William Edward",1,male,55,50,0
"Hippach, Miss. Jean Gertrude",1,female,16,57.9792,1
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,female,44,57.9792,1
"Hirvonen, Miss. Hildur E",3,female,2,12.2875,1
"Hocking, Miss. Ellen ""Nellie""",2,female,20,23,1
"Hocking, Mr. Richard George",2,male,23,11.5,0
"Hocking, Mr. Samuel James Metcalfe",2,male,36,13,0
"Hocking, Mrs. Elizabeth (Eliza Needs)",2,female,54,23,1
"Hodges, Mr. Henry Price",2,male,50,13,0
"Hogeboom, Mrs. John C (Anna Andrews)",1,female,51,77.9583,1
"Hold, Mr. Stephen",2,male,44,26,0
"Hold, Mrs. Stephen (Annie Margaret Hill)",2,female,29,26,1
"Holm, Mr. John Fredrik Alexander",3,male,43,6.45,0
"Holthen, Mr. Johan Martin",3,male,28,22.525,0
"Holverson, Mr. Alexander Oskar",1,male,42,52,0
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,female,35,52,1
"Homer, Mr. Harry (""Mr E Haven"")",1,male,35,26.55,1
"Honkanen, Miss. Eliina",3,female,27,7.925,1
"Hood, Mr. Ambrose Jr",2,male,21,73.5,0
"Hosono, Mr. Masabumi",2,male,42,13,1
"Howard, Mr. Benjamin",2,male,63,26,0
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",2,female,60,26,0
"Hoyt, Mr. Frederick Maxfield",1,male,38,90,1
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",1,female,35,90,1
"Humblen, Mr. Adolf Mathias Nicolai Olsen",3,male,42,7.65,0
"Hunt, Mr. George Henry",2,male,33,12.275,0
"Ibrahim Shawah, Mr. Yousseff",3,male,30,7.2292,0
"Ilett, Miss. Bertha",2,female,17,10.5,1
"Ilmakangas, Miss. Ida Livija",3,female,27,7.925,0
"Ilmakangas, Miss. Pieta Sofia",3,female,25,7.925,0
"Isham, Miss. Ann Elizabeth",1,female,50,28.7125,0
"Ismay, Mr. Joseph Bruce",1,male,49,0,1
"Jacobsohn, Mr. Sidney Samuel",2,male,42,27,0
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",2,female,24,27,1
"Jansson, Mr. Carl Olof",3,male,21,7.7958,1
"Jarvis, Mr. John Denzil",2,male,47,15,0
"Jefferys, Mr. Clifford Thomas",2,male,24,31.5,0
"Jefferys, Mr. Ernest Wilfred",2,male,22,31.5,0
"Jenkin, Mr. Stephen Curnow",2,male,32,10.5,0
"Jensen, Mr. Hans Peder",3,male,20,7.8542,0
"Jensen, Mr. Niels Peder",3,male,48,7.8542,0
"Jensen, Mr. Svend Lauritz",3,male,17,7.0542,0
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",2,female,23,13.7917,1
"Johanson, Mr. Jakob Alfred",3,male,34,6.4958,0
"Johansson Palmquist, Mr. Oskar Leander",3,male,26,7.775,1
"Johansson, Mr. Erik",3,male,22,7.7958,0
"Johansson, Mr. Gustaf Joel",3,male,33,8.6542,0
"Johansson, Mr. Karl Johan",3,male,31,7.775,0
"Johansson, Mr. Nils",3,male,29,7.8542,0
"Johnson, Master. Harold Theodor",3,male,4,11.1333,1
"Johnson, Miss. Eleanor Ileen",3,female,1,11.1333,1
"Johnson, Mr. Alfred",3,male,49,0,0
"Johnson, Mr. Malkolm Joackim",3,male,33,7.775,0
"Johnson, Mr. William Cahoone Jr",3,male,19,0,0
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,female,27,11.1333,1
"Jones, Mr. Charles Cresson",1,male,46,26,0
"Jonkoff, Mr. Lalio",3,male,23,7.8958,0
"Jonsson, Mr. Carl",3,male,32,7.8542,1
"Jonsson, Mr. Nils Hilding",3,male,27,7.8542,0
"Julian, Mr. Henry Forbes",1,male,50,26,0
"Jussila, Miss. Katriina",3,female,20,9.825,0
"Jussila, Miss. Mari Aina",3,female,21,9.825,0
"Jussila, Mr. Eiriik",3,male,32,7.925,1
"Kallio, Mr. Nikolai Erland",3,male,17,7.125,0
"Kalvik, Mr. Johannes Halvorsen",3,male,21,8.4333,0
"Kantor, Mr. Sinai",2,male,34,26,0
"Kantor, Mrs. Sinai (Miriam Sternin)",2,female,24,26,1
"Karaic, Mr. Milan",3,male,30,7.8958,0
"Karlsson, Mr. Einar Gervasius",3,male,21,7.7958,1
"Karlsson, Mr. Julius Konrad Eugen",3,male,33,7.8542,0
"Karlsson, Mr. Nils August",3,male,22,7.5208,0
"Karnes, Mrs. J Frank (Claire Bennett)",2,female,22,21,0
"Karun, Miss. Manca",3,female,4,13.4167,1
"Karun, Mr. Franz",3,male,39,13.4167,1
"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",3,male,18.5,7.2292,0
"Keane, Mr. Daniel",2,male,35,12.35,0
"Keeping, Mr. Edwin",1,male,32.5,211.5,0
"Kelly, Mr. James",3,male,34.5,7.8292,0
"Kelly, Mr. James",3,male,44,8.05,0
"Kelly, Mrs. Florence ""Fannie""",2,female,45,13.5,1
"Kent, Mr. Edward Austin",1,male,58,29.7,0
"Kenyon, Mr. Frederick R",1,male,41,51.8625,0
"Kimball, Mr. Edwin Nelson Jr",1,male,42,52.5542,1
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1,female,45,52.5542,1
"Kink, Miss. Maria",3,female,22,8.6625,0
"Kink, Mr. Vincenz",3,male,26,8.6625,0
"Kink-Heilmann, Miss. Luise Gretchen",3,female,4,22.025,1
"Kink-Heilmann, Mr. Anton",3,male,29,22.025,1
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",3,female,26,22.025,1
"Klasen, Miss. Gertrud Emilia",3,female,1,12.1833,0
"Klasen, Mr. Klas Albin",3,male,18,7.8542,0
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",3,female,36,12.1833,0
"Krekorian, Mr. Neshan",3,male,25,7.2292,1
"Kreuchen, Miss. Emilie",1,female,39,211.3375,1
"Kvillner, Mr. Johan Henrik Johannesson",2,male,31,10.5,0
"Lahtinen, Mrs. William (Anna Sylfven)",2,female,26,26,0
"Lahtinen, Rev. William",2,male,30,26,0
"Laitinen, Miss. Kristina Sofia",3,female,37,9.5875,0
"Landergren, Miss. Aurora Adelia",3,female,22,7.25,1
"Lang, Mr. Fang",3,male,26,56.4958,1
"Laroche, Miss. Louise",2,female,1,41.5792,1
"Laroche, Miss. Simonne Marie Anne Andree",2,female,3,41.5792,1
"Laroche, Mr. Joseph Philippe Lemercier",2,male,25,41.5792,0
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,female,22,41.5792,1
"Larsson, Mr. August Viktor",3,male,29,9.4833,0
"Larsson, Mr. Bengt Edvin",3,male,29,7.775,0
"Larsson-Rondberg, Mr. Edvard A",3,male,22,7.775,0
"Leader, Dr. Alice (Farnham)",1,female,49,25.9292,1
"Leeni, Mr. Fahim (""Philip Zenni"")",3,male,22,7.225,1
"Lehmann, Miss. Bertha",2,female,17,12,1
"Leinonen, Mr. Antti Gustaf",3,male,32,7.925,0
"Lemberopolous, Mr. Peter L",3,male,34.5,6.4375,0
"Lemore, Mrs. (Amelia Milley)",2,female,34,10.5,1
"Leonard, Mr. Lionel",3,male,36,0,0
"LeRoy, Miss. Bertha",1,female,30,106.425,1
"Lester, Mr. James",3,male,39,24.15,0
"Lesurer, Mr. Gustave J",1,male,35,512.3292,1
"Levy, Mr. Rene Jacques",2,male,36,12.875,0
"Leyson, Mr. Robert William Norman",2,male,24,10.5,0
"Lievens, Mr. Rene Aime",3,male,24,9.5,0
"Lindahl, Miss. Agda Thorilda Viktoria",3,female,25,7.775,0
"Lindblom, Miss. Augusta Charlotta",3,female,45,7.75,0
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",1,male,42,26.55,0
"Lindell, Mr. Edvard Bengtsson",3,male,36,15.55,0
"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",3,female,30,15.55,0
"Lindqvist, Mr. Eino William",3,male,20,7.925,1
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",1,female,55,27.7208,1
"Lines, Miss. Mary Conover",1,female,16,39.4,1
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",1,female,51,39.4,1
"Ling, Mr. Lee",3,male,28,56.4958,0
"Lingane, Mr. John",2,male,61,12.35,0
"Lobb, Mr. William Arthur",3,male,30,16.1,0
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",3,female,26,16.1,0
"Long, Mr. Milton Clyde",1,male,29,30,0
"Longley, Miss. Gretchen Fiske",1,female,21,77.9583,1
"Loring, Mr. Joseph Holland",1,male,30,45.5,0
"Louch, Mr. Charles Alexander",2,male,50,26,0
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",2,female,42,26,1
"Lovell, Mr. John Hall (""Henry"")",3,male,20.5,7.25,0
"Lulic, Mr. Nikola",3,male,27,8.6625,1
"Lundahl, Mr. Johan Svensson",3,male,51,7.0542,0
"Lundin, Miss. Olga Elida",3,female,23,7.8542,1
"Lundstrom, Mr. Thure Edvin",3,male,32,7.5792,1
"Lurette, Miss. Elise",1,female,58,146.5208,1
"Mack, Mrs. (Mary)",2,female,57,10.5,0
"Madill, Miss. Georgette Alexandra",1,female,15,211.3375,1
"Madsen, Mr. Fridtjof Arne",3,male,24,7.1417,1
"Maenpaa, Mr. Matti Alexanteri",3,male,22,7.125,0
"Maguire, Mr. John Edward",1,male,30,26,0
"Maioni, Miss. Roberta",1,female,16,86.5,1
"Makinen, Mr. Kalle Edvard",3,male,29,7.925,0
"Mallet, Master. Andre",2,male,1,37.0042,1
"Mallet, Mr. Albert",2,male,31,37.0042,0
"Mallet, Mrs. Albert (Antoinette Magnin)",2,female,24,37.0042,1
"Mangan, Miss. Mary",3,female,30.5,7.75,0
"Markoff, Mr. Marin",3,male,35,7.8958,0
"Markun, Mr. Johann",3,male,33,7.8958,0
"Marvin, Mr. Daniel Warner",1,male,19,53.1,0
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",1,female,18,53.1,1
"Matthews, Mr. William John",2,male,30,13,0
"Maybery, Mr. Frank Hubert",2,male,40,16,0
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,female,24,49.5042,1
"McCaffry, Mr. Thomas Francis",1,male,46,75.2417,0
"McCarthy, Mr. Timothy J",1,male,54,51.8625,0
"McCrae, Mr. Arthur Gordon",2,male,32,13.5,0
"McCrie, Mr. James Matthew",2,male,30,13,0
"McGough, Mr. James Robert",1,male,36,26.2875,1
"McGowan, Miss. Anna ""Annie""",3,female,15,8.0292,1
"McGowan, Miss. Katherine",3,female,35,7.75,0
"McKane, Mr. Peter David",2,male,46,26,0
"McNamee, Mr. Neal",3,male,24,16.1,0
"McNamee, Mrs. Neal (Eileen O'Leary)",3,female,19,16.1,0
"Mellinger, Miss. Madeleine Violet",2,female,13,19.5,1
"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,female,41,19.5,1
"Mellors, Mr. William John",2,male,19,10.5,1
"Meo, Mr. Alfonzo",3,male,55.5,8.05,0
"Meyer, Mr. August",2,male,39,13,0
"Meyer, Mr. Edgar Joseph",1,male,28,82.1708,0
"Midtsjo, Mr. Karl Albert",3,male,21,7.775,1
"Millet, Mr. Francis Davis",1,male,65,26.55,0
"Milling, Mr. Jacob Christian",2,male,48,13,0
"Minahan, Dr. William Edward",1,male,44,90,0
"Minahan, Miss. Daisy E",1,female,33,90,1
"Minahan, Mrs. William Edward (Lillian E Thorpe)",1,female,37,90,1
"Mineff, Mr. Ivan",3,male,24,7.8958,0
"Minkoff, Mr. Lazar",3,male,21,7.8958,0
"Mionoff, Mr. Stoytcho",3,male,28,7.8958,0
"Mitchell, Mr. Henry Michael",2,male,70,10.5,0
"Mock, Mr. Philipp Edmund",1,male,30,57.75,1
"Moen, Mr. Sigurd Hansen",3,male,25,7.65,0
"Molson, Mr. Harry Markland",1,male,55,30.5,0
"Moor, Master. Meier",3,male,6,12.475,1
"Moor, Mrs. (Beila)",3,female,27,12.475,1
"Moore, Mr. Clarence Bloomfield",1,male,47,42.4,0
"Moraweck, Dr. Ernest",2,male,54,14,0
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",2,male,39,26,0
"Morley, Mr. William",3,male,34,8.05,0
"Mudd, Mr. Thomas Charles",2,male,16,10.5,0
"Mulvihill, Miss. Bertha E",3,female,24,7.75,1
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",3,male,18,7.75,0
"Myles, Mr. Thomas Francis",2,male,62,9.6875,0
"Naidenoff, Mr. Penko",3,male,22,7.8958,0
"Najib, Miss. Adele Kiamie ""Jane""",3,female,15,7.225,1
"Nakid, Miss. Maria (""Mary"")",3,female,1,15.7417,1
"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",3,female,19,15.7417,1
"Nancarrow, Mr. William Henry",3,male,33,8.05,0
"Nasser, Mr. Nicholas",2,male,32.5,30.0708,0
"Nasser, Mrs. Nicholas (Adele Achem)",2,female,14,30.0708,1
"Natsch, Mr. Charles H",1,male,37,29.7,0
"Navratil, Master. Edmond Roger",2,male,2,26,1
"Navratil, Master. Michel M",2,male,3,26,1
"Navratil, Mr. Michel (""Louis M Hoffman"")",2,male,36.5,26,0
"Nesson, Mr. Israel",2,male,26,13,0
"Newell, Miss. Madeleine",1,female,31,113.275,1
"Newell, Miss. Marjorie",1,female,23,113.275,1
"Newell, Mr. Arthur Webster",1,male,58,113.275,0
"Newsom, Miss. Helen Monypeny",1,female,19,26.2833,1
"Nicholls, Mr. Joseph Charles",2,male,19,36.75,0
"Nicholson, Mr. Arthur Ernest",1,male,64,26,0
"Nicola-Yarred, Master. Elias",3,male,12,11.2417,1
"Nicola-Yarred, Miss. Jamila",3,female,14,11.2417,1
"Nieminen, Miss. Manta Josefina",3,female,29,7.925,0
"Niklasson, Mr. Samuel",3,male,28,8.05,0
"Nilsson, Miss. Berta Olivia",3,female,18,7.775,1
"Nilsson, Miss. Helmina Josefina",3,female,26,7.8542,1
"Nilsson, Mr. August Ferdinand",3,male,21,7.8542,0
"Nirva, Mr. Iisakki Antino Aijo",3,male,41,7.125,0
"Niskanen, Mr. Juha",3,male,39,7.925,1
"Norman, Mr. Robert Douglas",2,male,28,13.5,0
"Nosworthy, Mr. Richard Cater",3,male,21,7.8,0
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",2,male,20,13.8625,1
"Novel, Mr. Mansouer",3,male,28.5,7.2292,0
"Nye, Mrs. (Elizabeth Ramell)",2,female,29,10.5,1
"Nysten, Miss. Anna Sofia",3,female,22,7.75,1
"Nysveen, Mr. Johan Hansen",3,male,61,6.2375,0
"Odahl, Mr. Nils Martin",3,male,23,9.225,0
"Ohman, Miss. Velin",3,female,22,7.775,1
"Oliva y Ocana, Dona. Fermina",1,female,39,108.9,1
"Olsen, Master. Artur Karl",3,male,9,3.1708,1
"Olsen, Mr. Henry Margido",3,male,28,22.525,0
"Olsen, Mr. Karl Siegwart Andreas",3,male,42,8.4042,0
"Olsson, Miss. Elina",3,female,31,7.8542,0
"Olsson, Mr. Nils Johan Goransson",3,male,28,7.8542,0
"Olsson, Mr. Oscar Wilhelm",3,male,32,7.775,1
"Olsvigen, Mr. Thor Anderson",3,male,20,9.225,0
"Oreskovic, Miss. Jelka",3,female,23,8.6625,0
"Oreskovic, Miss. Marija",3,female,20,8.6625,0
"Oreskovic, Mr. Luka",3,male,20,8.6625,0
"Osen, Mr. Olaf Elon",3,male,16,9.2167,0
"Osman, Mrs. Mara",3,female,31,8.6833,1
"Ostby, Miss. Helene Ragnhild",1,female,22,61.9792,1
"Ostby, Mr. Engelhart Cornelius",1,male,65,61.9792,0
"Otter, Mr. Richard",2,male,39,13,0
"Ovies y Rodriguez, Mr. Servando",1,male,28.5,27.7208,0
"Oxenham, Mr. Percy Thomas",2,male,22,10.5,1
"Pain, Dr. Alfred",2,male,23,10.5,0
"Pallas y Castello, Mr. Emilio",2,male,29,13.8583,1
"Palsson, Master. Gosta Leonard",3,male,2,21.075,0
"Palsson, Master. Paul Folke",3,male,6,21.075,0
"Palsson, Miss. Stina Viola",3,female,3,21.075,0
"Palsson, Miss. Torborg Danira",3,female,8,21.075,0
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",3,female,29,21.075,0
"Panula, Master. Eino Viljami",3,male,1,39.6875,0
"Panula, Master. Juha Niilo",3,male,7,39.6875,0
"Panula, Master. Urho Abraham",3,male,2,39.6875,0
"Panula, Mr. Ernesti Arvid",3,male,16,39.6875,0
"Panula, Mr. Jaako Arnold",3,male,14,39.6875,0
"Panula, Mrs. Juha (Maria Emilia Ojala)",3,female,41,39.6875,0
"Parker, Mr. Clifford Richard",2,male,28,10.5,0
"Parrish, Mrs. (Lutie Davis)",2,female,50,26,1
"Partner, Mr. Austen",1,male,45.5,28.5,0
"Pasic, Mr. Jakob",3,male,21,8.6625,0
"Patchett, Mr. George",3,male,19,14.5,0
"Pavlovic, Mr. Stefo",3,male,32,7.8958,0
"Payne, Mr. Vivian Ponsonby",1,male,23,93.5,0
"Peacock, Master. Alfred Edward",3,male,0.75,13.775,0
"Peacock, Miss. Treasteall",3,female,3,13.775,0
"Peacock, Mrs. Benjamin (Edith Nile)",3,female,26,13.775,0
"Pears, Mr. Thomas Clinton",1,male,29,66.6,0
"Pears, Mrs. Thomas (Edith Wearne)",1,female,22,66.6,1
"Pekoniemi, Mr. Edvard",3,male,21,7.925,0
"Peltomaki, Mr. Nikolai Johannes",3,male,25,7.925,0
"Penasco y Castellana, Mr. Victor de Satode",1,male,18,108.9,0
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,17,108.9,1
"Pengelly, Mr. Frederick William",2,male,19,10.5,0
"Perkin, Mr. John Henry",3,male,22,7.25,0
"Perreault, Miss. Anne",1,female,30,93.5,1
"Persson, Mr. Ernst Ulrik",3,male,25,7.775,1
"Peruschitz, Rev. Joseph Maria",2,male,41,13,0
"Petersen, Mr. Marius",3,male,24,8.05,0
"Petranec, Miss. Matilda",3,female,28,7.8958,0
"Petroff, Mr. Nedelio",3,male,19,7.8958,0
"Petterson, Mr. Johan Emil",3,male,25,7.775,0
"Pettersson, Miss. Ellen Natalia",3,female,18,7.775,0
"Peuchen, Major. Arthur Godfrey",1,male,52,30.5,1
"Phillips, Miss. Alice Frances Louisa",2,female,21,21,1
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,female,19,26,1
"Phillips, Mr. Escott Robert",2,male,43,21,0
"Pickard, Mr. Berk (Berk Trembisky)",3,male,32,8.05,1
"Pinsky, Mrs. (Rosa)",2,female,32,13,1
"Pokrnic, Mr. Mate",3,male,17,8.6625,0
"Pokrnic, Mr. Tome",3,male,24,8.6625,0
"Ponesell, Mr. Martin",2,male,34,13,0
"Portaluppi, Mr. Emilio Ilario Giuseppe",2,male,30,12.7375,1
"Porter, Mr. Walter Chamberlain",1,male,47,52,0
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,female,56,83.1583,1
"Pulbaum, Mr. Franz",2,male,27,15.0333,0
"Quick, Miss. Phyllis May",2,female,2,26,1
"Quick, Miss. Winifred Vera",2,female,8,26,1
"Quick, Mrs. Frederick Charles (Jane Richards)",2,female,33,26,1
"Reeves, Mr. David",2,male,36,10.5,0
"Rekic, Mr. Tido",3,male,38,7.8958,0
"Renouf, Mr. Peter Henry",2,male,34,21,0
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",2,female,30,21,1
"Reuchlin, Jonkheer. John George",1,male,38,0,0
"Reynaldo, Ms. Encarnacion",2,female,28,13,1
"Reynolds, Mr. Harold J",3,male,21,8.05,0
"Rice, Master. Albert",3,male,10,29.125,0
"Rice, Master. Arthur",3,male,4,29.125,0
"Rice, Master. Eric",3,male,7,29.125,0
"Rice, Master. Eugene",3,male,2,29.125,0
"Rice, Master. George Hugh",3,male,8,29.125,0
"Rice, Mrs. William (Margaret Norton)",3,female,39,29.125,0
"Richard, Mr. Emile",2,male,23,15.0458,0
"Richards, Master. George Sibley",2,male,0.83,18.75,1
"Richards, Master. William Rowe",2,male,3,18.75,1
"Richards, Mrs. Sidney (Emily Hocking)",2,female,24,18.75,1
"Ridsdale, Miss. Lucy",2,female,50,10.5,1
"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",3,female,22,39.6875,0
"Ringhini, Mr. Sante",1,male,22,135.6333,0
"Rintamaki, Mr. Matti",3,male,35,7.125,0
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,female,43,211.3375,1
"Robins, Mrs. Alexander A (Grace Charity Laury)",3,female,47,14.5,0
"Roebling, Mr. Washington Augustus II",1,male,31,50.4958,0
"Rogers, Mr. Reginald Harry",2,male,19,10.5,0
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,male,45,26.55,1
"Rosblom, Miss. Salli Helena",3,female,2,20.2125,0
"Rosblom, Mr. Viktor Richard",3,male,18,20.2125,0
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",3,female,41,20.2125,0
"Rosenbaum, Miss. Edith Louise",1,female,33,27.7208,1
"Rosenshine, Mr. George (""Mr George Thorne"")",1,male,46,79.2,0
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,female,33,86.5,1
"Rothschild, Mr. Martin",1,male,55,59.4,0
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",1,female,54,59.4,1
"Rouse, Mr. Richard Henry",3,male,50,8.05,0
"Rowe, Mr. Alfred G",1,male,33,26.55,0
"Rugg, Miss. Emily",2,female,21,10.5,1
"Rush, Mr. Alfred George John",3,male,16,8.05,0
"Ryerson, Master. John Borie",1,male,13,262.375,1
"Ryerson, Miss. Emily Borie",1,female,18,262.375,1
"Ryerson, Miss. Susan Parker ""Suzette""",1,female,21,262.375,1
"Ryerson, Mr. Arthur Larned",1,male,61,262.375,0
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",1,female,48,262.375,1
"Saad, Mr. Khalil",3,male,25,7.225,0
"Saether, Mr. Simon Sivertsen",3,male,38.5,7.25,0
"Sage, Master. William Henry",3,male,14.5,69.55,0
"Sagesser, Mlle. Emma",1,female,24,69.3,1
"Salander, Mr. Karl Johan",3,male,24,9.325,0
"Salkjelsvik, Miss. Anna Kristine",3,female,21,7.65,1
"Salonen, Mr. Johan Werner",3,male,39,7.925,0
"Sandstrom, Miss. Marguerite Rut",3,female,4,16.7,1
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,female,24,16.7,1
"Sap, Mr. Julius",3,male,25,9.5,1
"Saundercock, Mr. William Henry",3,male,20,8.05,0
"Sawyer, Mr. Frederick Charles",3,male,24.5,8.05,0
"Schabert, Mrs. Paul (Emma Mock)",1,female,35,57.75,1
"Schmidt, Mr. August",2,male,26,13,0
"Sedgwick, Mr. Charles Frederick Waddington",2,male,25,13,0
"Serepeca, Miss. Augusta",1,female,30,31,1
"Sharp, Mr. Percival James R",2,male,27,26,0
"Sheerlinck, Mr. Jan Baptist",3,male,29,9.5,1
"Shelley, Mrs. William (Imanita Parrish Hall)",2,female,25,26,1
"Shutes, Miss. Elizabeth W",1,female,40,153.4625,1
"Silven, Miss. Lyyli Karoliina",2,female,18,13,1
"Silverthorne, Mr. Spencer Victor",1,male,35,26.2875,1
"Silvey, Mr. William Baird",1,male,50,55.9,0
"Silvey, Mrs. William Baird (Alice Munger)",1,female,39,55.9,1
"Simonius-Blumer, Col. Oberst Alfons",1,male,56,35.5,1
"Sincock, Miss. Maude",2,female,20,36.75,1
"Sinkkonen, Miss. Anna",2,female,30,13,1
"Sirayanian, Mr. Orsen",3,male,22,7.2292,0
"Sivic, Mr. Husein",3,male,40,7.8958,0
"Sivola, Mr. Antti Wilhelm",3,male,21,7.925,0
"Sjoblom, Miss. Anna Sofia",3,female,18,7.4958,1
"Sjostedt, Mr. Ernst Adolf",2,male,59,13.5,0
"Skoog, Master. Harald",3,male,4,27.9,0
"Skoog, Master. Karl Thorsten",3,male,10,27.9,0
"Skoog, Miss. Mabel",3,female,9,27.9,0
"Skoog, Miss. Margit Elizabeth",3,female,2,27.9,0
"Skoog, Mr. Wilhelm",3,male,40,27.9,0
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,female,45,27.9,0
"Slayter, Miss. Hilda Mary",2,female,30,12.35,1
"Slemen, Mr. Richard James",2,male,35,10.5,0
"Sloper, Mr. William Thompson",1,male,28,35.5,1
"Smart, Mr. John Montgomery",1,male,56,26.55,0
"Smith, Miss. Marion Elsie",2,female,40,13,1
"Smith, Mr. James Clinch",1,male,56,30.6958,0
"Smith, Mr. Lucien Philip",1,male,24,60,0
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",1,female,18,60,1
"Snyder, Mr. John Pillsbury",1,male,24,82.2667,1
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",1,female,23,82.2667,1
"Sobey, Mr. Samuel James Hayden",2,male,25,13,0
"Soholt, Mr. Peter Andreas Lauritz Andersen",3,male,19,7.65,0
"Somerton, Mr. Francis William",3,male,30,8.05,0
"Spedden, Master. Robert Douglas",1,male,6,134.5,1
"Spedden, Mr. Frederic Oakley",1,male,45,134.5,1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,female,40,134.5,1
"Spencer, Mr. William Augustus",1,male,57,146.5208,0
"Spinner, Mr. Henry John",3,male,32,8.05,0
"Stahelin-Maeglin, Dr. Max",1,male,32,30.5,1
"Stankovic, Mr. Ivan",3,male,33,8.6625,0
